date_published,baseline_sentiment,vader_sentiment,money_of_the_day,2020_money,oil_production,renewables,year
2009-01,1.0,0.9610416666666665,61.67,74.4,81491,635.8,2009
2010-01,0.5636363636363636,0.848991515151515,79.5,94.35,83293,761.2,2010
2011-01,0.5767790262172284,0.852074531835206,111.26,128.01,84042,908.2,2011
2012-01,0.6448979591836734,0.821552244897959,111.67,125.88,86255,1067.9,2012
2013-01,0.4101123595505618,0.7433612359550567,108.66,120.72,86670,1245.5,2013
2014-01,0.5581395348837209,0.8552918604651167,98.95,108.17,88834,1414.0,2014
2015-01,0.6261682242990654,0.8839149532710278,52.39,57.2,91632,1634.4,2015
2016-01,0.6949152542372882,0.8804322033898304,43.73,47.16,91989,1851.3,2016
2017-01,0.6127167630057804,0.8259219653179187,54.19,57.22,92568,2180.2,2017
2018-01,0.625,0.7945227941176467,71.31,73.5,94852,2478.6,2018
2019-01,0.5675675675675675,0.8610432432432432,64.21,65.0,94961,2789.2,2019
2020-01,0.6,0.8272740000000001,41.84,41.84,88391,3147.0,2020
