date_published,Unnamed: 0.1,baseline_sentiment,vader_sentiment
2009,5002.0,-0.2,-0.032099999999999976
2010,4958.0,-0.08433734939759036,0.508155421686747
2011,4856.5,-0.2,0.29162666666666665
2012,4698.0,-0.2436548223350254,0.3591614213197968
2013,4485.5,-0.0043859649122807015,0.4229013157894739
2014,4264.5,-0.3598130841121495,0.09449813084112146
2015,3940.2748267898382,-0.08314087759815242,0.28954318706697496
2016,3489.5,-0.24572649572649571,0.10823803418803418
2017,2939.5,-0.07120253164556962,0.2608443037974683
2018,2271.0,-0.31631205673758866,-0.008973900709219853
2019,1643.2839285714285,-0.41964285714285715,-0.06874178571428569
2020,989.9363143631437,-0.3712737127371274,-0.15506775067750656
2021,311.16881028938906,-0.05787781350482315,0.16956816720257215
