date_published,baseline_sentiment,vader_sentiment
2009,0.3333333333333333,0.6984333333333334
2010,-0.30158730158730157,0.0761460317460318
2011,-0.5641025641025641,-0.24043931623931616
2012,-0.576271186440678,-0.19615762711864398
2013,-0.36666666666666664,0.07486333333333335
2014,-0.5327102803738317,-0.21113738317757008
2015,-0.4161676646706587,-0.07575718562874251
2016,-0.39473684210526316,-0.030533333333333242
2017,-0.15196078431372548,0.06719166666666669
2018,-0.4842105263157895,-0.36255157894736817
2019,-0.6976744186046512,-0.4039244186046511
2020,-0.36363636363636365,-0.42498842975206635
2021,-0.3191489361702128,-0.20474085106382986
