date_published,title,date
2009-11,2,2009-11
2009-12,1,2009-12
2010-01,5,2010-01
2010-02,6,2010-02
2010-03,9,2010-03
2010-04,10,2010-04
2010-05,7,2010-05
2010-06,5,2010-06
2010-07,4,2010-07
2010-08,6,2010-08
2010-09,7,2010-09
2010-10,2,2010-10
2010-11,1,2010-11
2010-12,1,2010-12
2011-01,5,2011-01
2011-02,6,2011-02
2011-03,16,2011-03
2011-04,15,2011-04
2011-05,13,2011-05
2011-06,7,2011-06
2011-07,14,2011-07
2011-08,11,2011-08
2011-09,8,2011-09
2011-10,6,2011-10
2011-11,9,2011-11
2011-12,7,2011-12
2012-01,11,2012-01
2012-02,9,2012-02
2012-03,12,2012-03
2012-04,4,2012-04
2012-05,3,2012-05
2012-06,3,2012-06
2012-07,4,2012-07
2012-08,3,2012-08
2012-09,6,2012-09
2012-10,3,2012-10
2012-12,1,2012-12
2013-01,3,2013-01
2013-02,4,2013-02
2013-03,1,2013-03
2013-04,1,2013-04
2013-06,3,2013-06
2013-08,5,2013-08
2013-09,5,2013-09
2013-10,2,2013-10
2013-11,3,2013-11
2013-12,3,2013-12
2014-02,4,2014-02
2014-03,2,2014-03
2014-04,4,2014-04
2014-05,1,2014-05
2014-06,1,2014-06
2014-07,2,2014-07
2014-08,5,2014-08
2014-09,7,2014-09
2014-10,25,2014-10
2014-11,16,2014-11
2014-12,40,2014-12
2015-01,38,2015-01
2015-02,28,2015-02
2015-03,46,2015-03
2015-04,41,2015-04
2015-05,28,2015-05
2015-06,20,2015-06
2015-07,19,2015-07
2015-08,28,2015-08
2015-09,22,2015-09
2015-10,36,2015-10
2015-11,17,2015-11
2015-12,11,2015-12
2016-01,31,2016-01
2016-02,18,2016-02
2016-03,12,2016-03
2016-04,12,2016-04
2016-05,17,2016-05
2016-06,8,2016-06
2016-07,14,2016-07
2016-08,19,2016-08
2016-09,22,2016-09
2016-10,21,2016-10
2016-11,23,2016-11
2016-12,31,2016-12
2017-01,20,2017-01
2017-02,28,2017-02
2017-03,18,2017-03
2017-04,36,2017-04
2017-05,58,2017-05
2017-06,44,2017-06
2017-07,57,2017-07
2017-08,46,2017-08
2017-09,31,2017-09
2017-10,30,2017-10
2017-11,20,2017-11
2017-12,20,2017-12
2018-01,24,2018-01
2018-02,21,2018-02
2018-03,6,2018-03
2018-04,17,2018-04
2018-05,15,2018-05
2018-06,9,2018-06
2018-07,14,2018-07
2018-08,9,2018-08
2018-09,18,2018-09
2018-10,16,2018-10
2018-11,20,2018-11
2018-12,21,2018-12
2019-01,22,2019-01
2019-02,16,2019-02
2019-03,9,2019-03
2019-04,14,2019-04
2019-05,12,2019-05
2019-06,13,2019-06
2019-07,13,2019-07
2019-08,17,2019-08
2019-09,18,2019-09
2019-10,15,2019-10
2019-11,9,2019-11
2019-12,14,2019-12
2020-01,17,2020-01
2020-02,17,2020-02
2020-03,27,2020-03
2020-04,36,2020-04
2020-05,31,2020-05
2020-06,24,2020-06
2020-07,16,2020-07
2020-08,10,2020-08
2020-09,22,2020-09
2020-10,18,2020-10
2020-11,14,2020-11
2020-12,10,2020-12
2021-01,16,2021-01
2021-02,22,2021-02
2021-03,18,2021-03
2021-04,19,2021-04
2021-05,17,2021-05
2021-06,21,2021-06
2021-07,31,2021-07
2021-08,25,2021-08
2021-09,28,2021-09
2021-10,21,2021-10
2021-11,10,2021-11
2021-12,7,2021-12
