,Total_renewable_consumption,Industrial_Production_Index,date
2009-11,637.48,88.0061,2009.11
2009-12,686.281,88.2819,2009.12
2010-01,674.786,89.2744,2010.01
2010-02,616.815,89.5648,2010.02
2010-03,687.383,90.2296,2010.03
2010-04,672.283,90.5689,2010.04
2010-05,731.051,91.8247,2010.05
2010-06,771.045,92.007,2010.06
2010-07,717.952,92.3967,2010.07
2010-08,676.397,92.7118,2010.08
2010-09,637.736,92.9252,2010.09
2010-10,658.487,92.7115,2010.1
2010-11,689.453,92.7535,2010.11
2010-12,733.477,93.6492,2010.12
2011-01,739.991,93.4768,2011.01
2011-02,711.419,93.0617,2011.02
2011-03,816.485,94.0244,2011.03
2011-04,815.314,93.7011,2011.04
2011-05,839.427,93.849,2011.05
2011-06,836.745,94.0844,2011.06
2011-07,795.956,94.5881,2011.07
2011-08,755.093,95.1605,2011.08
2011-09,682.677,95.0855,2011.09
2011-10,711.034,95.6902,2011.1
2011-11,737.006,95.7307,2011.11
2011-12,770.571,96.2047,2011.12
2012-01,752.512,96.7772,2012.01
2012-02,684.077,97.051,2012.02
2012-03,790.323,96.5714,2012.03
2012-04,766.976,97.3139,2012.04
2012-05,810.241,97.4669,2012.05
2012-06,779.586,97.4577,2012.06
2012-07,751.798,97.6786,2012.07
2012-08,725.68,97.2842,2012.08
2012-09,650.037,97.2295,2012.09
2012-10,689.175,97.5344,2012.1
2012-11,688.042,97.9837,2012.11
2012-12,767.801,98.2122,2012.12
2013-01,796.939,98.1664,2013.01
2013-02,713.927,98.6458,2013.02
2013-03,781.124,99.0597,2013.03
2013-04,830.311,98.9927,2013.04
2013-05,869.837,99.0726,2013.05
2013-06,838.733,99.2065,2013.06
2013-07,825.682,98.9204,2013.07
2013-08,756.187,99.4996,2013.08
2013-09,715.542,100.0568,2013.09
2013-10,756.143,99.9168,2013.1
2013-11,768.3,100.1762,2013.11
2013-12,806.231,100.3658,2013.12
2014-01,824.358,100.038,2014.01
2014-02,711.494,100.7918,2014.02
2014-03,861.374,101.7782,2014.03
2014-04,872.05,101.8337,2014.04
2014-05,869.661,102.2325,2014.05
2014-06,865.531,102.5722,2014.06
2014-07,833.144,102.8479,2014.07
2014-08,771.349,102.6491,2014.08
2014-09,722.573,102.9858,2014.09
2014-10,775.278,102.9911,2014.1
2014-11,815.457,103.6669,2014.11
2014-12,829.934,103.6139,2014.12
2015-01,816.414,102.8479,2015.01
2015-02,768.899,102.2292,2015.02
2015-03,835.508,101.8945,2015.03
2015-04,834.147,101.2859,2015.04
2015-05,831.136,100.8408,2015.05
2015-06,796.447,100.5063,2015.06
2015-07,821.888,101.1831,2015.07
2015-08,798.487,100.9115,2015.08
2015-09,751.552,100.568,2015.09
2015-10,777.787,100.1588,2015.1
2015-11,825.794,99.4099,2015.11
2015-12,879.38,98.8329,2015.12
2016-01,858.167,99.4797,2016.01
2016-02,856.335,98.9583,2016.02
2016-03,935.049,98.1954,2016.03
2016-04,887.802,98.4673,2016.04
2016-05,902.029,98.2889,2016.05
2016-06,855.817,98.7201,2016.06
2016-07,873.608,98.8992,2016.07
2016-08,825.064,98.7249,2016.08
2016-09,790.439,98.606,2016.09
2016-10,833.077,98.6703,2016.1
2016-11,836.772,98.2288,2016.11
2016-12,936.511,98.8958,2016.12
2017-01,907.225,98.7446,2017.01
2017-02,860.788,98.3676,2017.02
2017-03,1016.377,99.1065,2017.03
2017-04,996.015,100.0363,2017.04
2017-05,1036.661,100.147,2017.05
2017-06,992.844,100.3042,2017.06
2017-07,922.022,100.2092,2017.07
2017-08,867.718,99.7055,2017.08
2017-09,838.121,99.7485,2017.09
2017-10,892.546,100.988,2017.1
2017-11,877.895,101.273,2017.11
2017-12,907.303,101.3696,2017.12
2018-01,955.753,101.3561,2018.01
2018-02,895.453,101.6495,2018.02
2018-03,996.532,102.298,2018.03
2018-04,1003.584,103.4095,2018.04
2018-05,1046.189,102.5408,2018.05
2018-06,1016.689,103.3045,2018.06
2018-07,930.676,103.5474,2018.07
2018-08,937.311,104.1659,2018.08
2018-09,850.755,104.1315,2018.09
2018-10,888.48,103.9874,2018.1
2018-11,891.923,103.9127,2018.11
2018-12,929.196,103.867,2018.12
2019-01,925.85,103.3023,2019.01
2019-02,867.135,102.728,2019.02
2019-03,986.27,102.8635,2019.03
2019-04,1021.269,102.2543,2019.04
2019-05,1062.711,102.4519,2019.05
2019-06,994.983,102.384,2019.06
2019-07,982.415,102.0568,2019.07
2019-08,936.603,102.6882,2019.08
2019-09,898.605,102.3143,2019.09
2019-10,930.504,101.4645,2019.1
2019-11,897.482,101.9876,2019.11
2019-12,932.319,101.6179,2019.12
2020-01,977.533,101.0918,2020.01
2020-02,982.222,101.3247,2020.02
2020-03,970.388,97.4477,2020.03
2020-04,915.287,84.2018,2020.04
2020-05,1041.569,85.8434,2020.05
2020-06,1050.005,91.1622,2020.06
2020-07,996.679,94.8887,2020.07
2020-08,954.313,95.8924,2020.08
2020-09,887.219,95.6019,2020.09
2020-10,925.662,96.6454,2020.1
2020-11,988.19,97.1609,2020.11
2020-12,1000.204,98.2854,2020.12
2021-01,984.187,99.4076,2021.01
2021-02,884.303,96.3966,2021.02
2021-03,1088.891,99.1618,2021.03
2021-04,1036.407,99.2416,2021.04
2021-05,1103.013,99.9226,2021.05
2021-06,1036.416,100.4363,2021.06
2021-07,987.273,101.258,2021.07
2021-08,1009.854,101.2637,2021.08
